,mutagenesis,world,hepatitis,genes,mondial religion,mondial infant-mortality,mondial continent,mondial GDP,mondial inflation
 k_var,19.76496959,89.53187561,51.39133291,116.7576765,50.43606434,37.39189253,42.2006804,40.9654561,41.42472396
 random,23.68974586,99.46634245,52.60110321,80.04610572,71.14836531,44.55089707,49.5122323,54.22897758,56.44052181
 len,29.85956984,93.11415358,78.07407489,102.0986599,79.68884506,83.28132739,101.2980337,64.87221074,66.45511661
 1ep,40.27687025,129.6259964,76.23715954,132.4393546,53.32345362,54.35924897,60.40833459,63.20471902,56.85031705
 sampling,50.18615718,130.4685509,161.0496136,inf,82.9057797,61.12391119,99.48883419,63.80325189,81.85227213
