,mutagenesis,world,hepatitis,genes,mondial religion,mondial infant-mortality,mondial continent,mondial GDP,mondial inflation
 1ep,inf,145.7949156,inf,148.0225767,57.94424667,61.60462704,65.56728525,85.93343897,63.93320904
 dynamic,inf,126.623096,inf,123.9434488,63.33920283,60.86359296,66.74259892,63.35419688,63.13943415
 k_var,73.80645509,99.75760136,73.58145628,133.1822732,57.31290798,44.37633343,47.33663111,69.14174566,48.47170663
 len,60.60014901,110.1513108,209.0025182,126.9862808,88.09842553,83.28132739,101.2980337,101.0656729,76.96902332
 random,42.67623801,106.5064637,71.21032343,95.92764025,120.2048876,55.14256492,53.21039805,68.5562706,62.47428322
 sampling,inf,161.2012578,inf,inf,88.958286,70.21625195,106.4001469,91.03904533,105.9765267
,,,,,,,,,
,,,,,,98,,,
