,mutagenesis,world,hepatitis,genes,M religion,M infant mort.,M continent,M GDP,M Inflation
random42,24.6605309,111.5410177,62.27050524,94.77120714,80.01546044,59.95365911,56.69250574,55.97402024,54.59673154
remove_longest,29.72653232,97.74248009,93.911939,124.8798649,100.1897881,91.67129054,111.9605312,80.68169808,73.99139047
kernel variance,41.92728381,116.9833458,64.88770409,155.00491,75.03759427,64.54972892,70.73496137,64.1334609,63.83841076
1 epoch,49.11923385,120.0889397,68.30260868,154.3169069,63.564814,67.05716538,71.37309704,70.64668822,67.22442265
conditional_entropy,1192.964527,134.3773959,117.5342636,119.3093619,76.1255518,80.54050646,86.14545207,81.5517621,77.3615464
dynamic,56.87376781,124.8079913,76.93194304,143.9436555,77.82368827,76.44183316,85.20374527,74.55775237,77.14784789
