exp_name,accuracy,time,emb_time
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
mutagenesis\EK_4_100_500_10_50000_0experiment_all_schemes,0.8894736842105264,0.4908333333333333,0.0483333333333333
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
mutagenesis\EK_4_100_500_10_50000_0experiment_all_schemes,0.8894736842105264,0.49083333333333334,0.04833333333333333
