exp_name,accuracy,time,emb_time
genes\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.722093023,0.309722222,0.030833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.439534884,0.214722222,0.021111111
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.560465116,0.235,0.023333333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.66744186,0.257222222,0.025833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.710465116,0.2775,0.0275
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.734883721,0.291388889,0.028611111
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.729069767,0.309444444,0.030833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.768604651,0.351111111,0.035277778
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.795348837,0.407222222,0.040555556
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.795348837,0.407222222,0.040277778
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,1.0,0.386944444,0.0375
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,1.0,0.395555556,0.038888889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,1.0,0.4025,0.039722222
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,1.0,0.415555556,0.040833333
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,1.0,0.350555556,0.035555556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,1.0,0.358611111,0.036388889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,1.0,0.367222222,0.038055556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,1.0,0.368888889,0.036944444
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,1.0,0.273888889,0.027222222
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,1.0,0.293055556,0.029166667
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,1.0,0.31,0.031388889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,1.0,0.327777778,0.033055556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,1.0,0.236666667,0.023888889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,1.0,0.260277778,0.025833333
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,1.0,0.278611111,0.027777778
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,1.0,0.304722222,0.029722222
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,1.0,0.206666667,0.02
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,1.0,0.227777778,0.022777778
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,1.0,0.245555556,0.025
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,1.0,0.269166667,0.026944444
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,1.0,0.280833333,0.028055556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,1.0,0.300833333,0.030277778
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,1.0,0.335,0.033611111
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,1.0,0.391666667,0.039166667
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,1.0,0.395555556,0.039444444
mondial\EK_4_100_500_10_50000_0experiment_all_depth_4,0.857142857,1.661111111,0.164444444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_65%in_1_ep,0.866666667,0.8475,0.084166667
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_65%in_2_ep,0.866666667,0.892222222,0.086944444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_65%in_3_ep,0.861904762,0.943888889,0.093611111
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_65%in_4_ep,0.861904762,1.001666667,0.099444444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_65%in_6_ep,0.866666667,1.091944444,0.108055556
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_75%in_1_ep,0.857142857,0.701111111,0.069444444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_75%in_2_ep,0.861904762,0.773888889,0.077222222
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_75%in_3_ep,0.876190476,0.819722222,0.081666667
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_75%in_4_ep,0.876190476,0.8925,0.089166667
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_75%in_6_ep,0.876190476,0.979722222,0.098333333
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_85%in_1_ep,0.761904762,0.606666667,0.061111111
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_85%in_2_ep,0.8,0.667222222,0.066944444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_85%in_3_ep,0.828571429,0.725833333,0.073333333
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_85%in_4_ep,0.857142857,0.788611111,0.078611111
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_85%in_6_ep,0.866666667,0.900555556,0.09
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_95%in_1_ep,0.7,0.527222222,0.050833333
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_95%in_2_ep,0.747619048,0.561944444,0.054722222
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_95%in_3_ep,0.780952381,0.625,0.061944444
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_95%in_4_ep,0.80952381,0.693055556,0.068611111
mondial\EK_4_100_500_10_50000_0experiment_dynamic_d4_95%in_6_ep,0.847619048,0.841388889,0.083888889
mondial_fuzz\EK_3_100_1000_10_50000_0experiment_sameT_conditional_entropy_from_low_to_high_removed_40,0.833333333,4.995555556,0.506944444
mondial_fuzz\EK_3_100_1500_10_50000_0experiment_sameT_conditional_entropy_from_low_to_high_removed_40,0.847619048,7.424722222,0.744444444
mondial_fuzz\EK_3_100_500_10_50000_0experiment_EC_all,0.833333333,5.524166667,0.5575
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,0.833333333,0.270277778,0.027222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,0.828571429,0.2725,0.027777778
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,0.833333333,0.290277778,0.029722222
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,0.833333333,0.289722222,0.029444444
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,0.847619048,0.242222222,0.024722222
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,0.842857143,0.251388889,0.025555556
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,0.847619048,0.258888889,0.026388889
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,0.847619048,0.2725,0.027777778
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.828571429,0.2,0.019444444
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.828571429,0.214444444,0.021666667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.838095238,0.229722222,0.023611111
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.828571429,0.247222222,0.025
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.771428571,0.1775,0.0175
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.804761905,0.194722222,0.019166667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.823809524,0.209166667,0.021388889
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.823809524,0.225555556,0.023055556
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.619047619,0.147777778,0.015
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.60952381,0.163333333,0.016666667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.623809524,0.182222222,0.018333333
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.70952381,0.198611111,0.020277778
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.795238095,0.219166667,0.022222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.833333333,0.237222222,0.024166667
