River,Country,Province
Enns,A,Lower Austria
Mur,A,Salzburg
Salzach,A,Salzburg
Raab,A,Styria
Isar,A,Tyrol
Enns,A,Upper Austria
Iller,A,Vorarlberg
Lech,A,Vorarlberg
Amudarja,AFG,Afghanistan
Pjandsh,AFG,Afghanistan
Drin,AL,Albania
Cuango,ANG,Lunda Sul
Cuilo,ANG,Lunda Sul
Cuango,ANG,Malanje
Kasai,ANG,Moxico
Murrumbidgee River,AUS,New South Wales
Darling River,AUS,Queensland
Murray River,AUS,Victoria
Volta,BF,Burkina Faso
Rio Desaguadero,BOL,Bolivia
Rio Madeira,BOL,Bolivia
